date,close,high,low,trade_count,open,volume,vwap
2024-01-01 05:00:00+00:00,184.4,196.38,180.17,13712521,187.15,1187598417,187.38927
2024-02-01 05:00:00+00:00,180.75,191.05,179.25,13296633,183.985,1161712639,184.235274
2024-03-01 05:00:00+00:00,171.48,180.53,168.49,16423301,179.55,1433451760,172.681696
2024-04-01 04:00:00+00:00,170.33,178.36,164.075,14522400,171.19,1246188885,170.381162
2024-05-01 04:00:00+00:00,192.25,193.0,169.11,14476564,169.58,1336579742,185.973002
2024-06-01 04:00:00+00:00,210.62,220.2,192.15,16906034,192.9,1723932412,207.957523
2024-07-01 04:00:00+00:00,222.08,237.23,211.92,15620462,212.09,1153193377,224.62596
2024-08-01 04:00:00+00:00,229.0,232.92,196.0,15120557,224.37,1122666993,220.06895
2024-09-01 04:00:00+00:00,233.0,233.09,213.92,13644865,228.55,1232391861,224.432403
2024-10-01 04:00:00+00:00,225.91,237.49,221.33,13170202,229.52,930835961,229.920932
2024-11-01 04:00:00+00:00,237.33,237.81,219.71,9940173,220.965,891707046,227.634129
2024-12-01 05:00:00+00:00,250.42,260.1,237.16,9018865,237.27,977942014,249.398259
2025-01-01 05:00:00+00:00,236.0,249.1,219.38,12998559,248.93,1200291603,233.414266
2025-02-01 05:00:00+00:00,241.84,250.0,225.7,9684254,229.99,861795987,238.263989
2025-03-01 05:00:00+00:00,222.13,244.0272,208.42,12670570,241.79,1115305625,222.138675
2025-04-01 04:00:00+00:00,212.5,225.19,169.2101,20028130,219.805,1607300684,196.039673
2025-05-01 04:00:00+00:00,212.93,214.56,193.25,6304593,209.08,549846114,203.36148
